GEOID,n_lines
36081120100,0
36081120300,0
36081120500,0
36081120700,0
36081121100,0
36081121500,0
36081122300,0
36081122701,0
36081122702,0
36081124100,0
36081124700,0
36081125700,0
36081126500,0
36081155101,0
36081128300,0
36081129102,0
36081003200,0
36081003700,0
36081003900,0
36081004300,0
36081130100,0
36081133300,0
36081133900,0
36081134100,0
36081134700,0
36081136700,0
36081137700,0
36081138501,0
36081138502,0
36081139900,0
36081140300,0
36081140901,0
36081140902,0
36081142900,0
36081143500,0
36081144100,0
36081144700,0
36081008100,0
36081008300,0
36081063700,0
36081063800,0
36081063900,0
36081145101,0
36081145102,0
36081145900,0
36081146300,0
36081146700,0
36081147100,0
36081147900,0
36081148300,0
36081150701,0
36081150702,0
36081152901,0
36081152902,0
36081156700,0
36081157101,0
36081157102,0
36081157901,0
36081157902,0
36081064102,0
36081064500,0
36081064600,0
36081065000,0
36081065400,0
36081065501,0
36081065600,0
36081066000,0
36081066100,0
36081066300,0
36081126700,0
36081066501,0
36081066701,0
36081066900,0
36081067700,0
36081067900,0
36081157903,0
36081161700,0
36081162100,0
36081107202,0
36081029400,0
36081065703,0
36005019400,0
36005045600,0
36005013200,0
36005003800,0
36005011800,0
36005008400,0
36005024700,0
36005039100,0
36005000100,0
36005011000,0
36005038200,0
36005009800,0
36005036800,0
36005000400,0
36005002000,0
36005014300,0
36005038900,0
36005013800,0
36005002400,0
36005007400,0
36005001600,0
36005034400,0
36005025200,0
36005042800,0
36005042600,0
36005030701,0
36005038700,0
36005045102,0
36005029600,0
36005035600,0
36005031000,0
36005031400,0
36005031200,0
36005015800,0
36005045800,0
36005031900,0
36005016000,0
36005037300,0
36005051600,0
36005016600,0
36005016500,0
36005013000,0
36005014100,0
36005032300,0
36005030100,0
36005014900,0
36005038600,0
36005014400,0
36005034500,0
36005030200,0
36005044902,0
36005016700,0
36005014500,0
36005018400,0
36005025400,0
36005016200,0
36005000200,0
36005020100,0
36005029700,0
36005024400,0
36005008600,0
36005037100,0
36005034300,0
36005039300,0
36005016900,0
36005044800,0
36005036901,0
36005039700,0
36005044901,0
36005046201,0
36005028600,0
36005050400,0
36005043500,0
36005004600,0
36005016400,0
36005015200,0
36005014701,0
36005014702,0
36005020501,0
36005021001,0
36005027401,0
36005027402,0
36005029301,0
36005030900,0
36005033700,0
36005004200,0
36005009000,0
36005009300,0
36005011700,0
36005018500,0
36005023800,0
36005037504,0
